Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AKSoftware.Localization.MultiLanguages.Benchmarks\AKSoftware.Localization.MultiLanguages.Benchmarks.csproj,File,AKSoftware.Localization.MultiLanguages.Benchmarks\AKSoftware.Localization.MultiLanguages.Benchmarks.csproj,,,,,,,,Current target framework: net6.0;net10.0 Recommended target framework: net6.0;net10.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AKSoftware.Localization.MultiLanguages.Blazor\AKSoftware.Localization.MultiLanguages.Blazor.csproj,File,AKSoftware.Localization.MultiLanguages.Blazor\AKSoftware.Localization.MultiLanguages.Blazor.csproj,,,Microsoft.AspNetCore.Components.Web 8.0.0,,,,,"Microsoft.AspNetCore.Components.Web, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.7"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AKSoftware.Localization.MultiLanguages.Blazor\AKSoftware.Localization.MultiLanguages.Blazor.csproj,File,AKSoftware.Localization.MultiLanguages.Blazor\AKSoftware.Localization.MultiLanguages.Blazor.csproj,,,,,,,,Current target framework: net8.0;net9.0;net10.0 Recommended target framework: net8.0;net9.0;net10.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AKSoftware.Localization.MultiLanguages\AKSoftware.Localization.MultiLanguages.csproj,File,AKSoftware.Localization.MultiLanguages\AKSoftware.Localization.MultiLanguages.csproj,,,Microsoft.AspNetCore.Components.Forms 3.1.32,,,,,"Microsoft.AspNetCore.Components.Forms, 3.1.32  Recommendation:  Remove Microsoft.AspNetCore.Components.Forms, and replace with new package Microsoft.AspNetCore.Components.Forms 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AKSoftware.Localization.MultiLanguages\AKSoftware.Localization.MultiLanguages.csproj,File,AKSoftware.Localization.MultiLanguages\AKSoftware.Localization.MultiLanguages.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 8.0.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.7"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,AKSoftware.Localization.MultiLanguages\AKSoftware.Localization.MultiLanguages.csproj,File,AKSoftware.Localization.MultiLanguages\AKSoftware.Localization.MultiLanguages.csproj,,,System.ComponentModel.Annotations 5.0.0,,,,,"System.ComponentModel.Annotations, 5.0.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AKSoftware.Localization.MultiLanguages\AKSoftware.Localization.MultiLanguages.csproj,File,AKSoftware.Localization.MultiLanguages\AKSoftware.Localization.MultiLanguages.csproj,,,,,,,,Current target framework: netstandard2.0;net8.0;net9.0;net10.0 Recommended target framework: netstandard2.0;net8.0;net9.0;net10.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,AKSoftware.Localization.MultiLanguages.SourceGenerator\AKSoftware.Localization.MultiLanguages.SourceGenerator.csproj,File,AKSoftware.Localization.MultiLanguages.SourceGenerator\AKSoftware.Localization.MultiLanguages.SourceGenerator.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 8.0.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.7"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,AKSoftware.Localization.MultiLanguages.SourceGenerator\AKSoftware.Localization.MultiLanguages.SourceGenerator.csproj,File,AKSoftware.Localization.MultiLanguages.SourceGenerator\AKSoftware.Localization.MultiLanguages.SourceGenerator.csproj,,,,,,,,Current target framework: netstandard2.0;net10.0 Recommended target framework: netstandard2.0;net10.0;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,AKSoftware.Localization.MultiLanguages.Tests\AKSoftware.Localization.MultiLanguages.Tests.csproj,File,AKSoftware.Localization.MultiLanguages.Tests\AKSoftware.Localization.MultiLanguages.Tests.csproj,,,xunit 2.4.2,,,,,"xunit, 2.4.2  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
